[Map size]
M=70
N=70

[Node]
1,5,20,2,40,14,15,16,42,8,43 | water,

2,15,5,1,3,8 | mountain,

3,25,5,2,8,9 | swamp,magic,

4,35,5,3,5,9,10 | mountain,cavern,

5,45,5,11,10,4,6 | forest,magic,

6,55,5,7,5,11 | farmland,cavern,

7,65,5,13,6,12,11 | farmland,

8,20,15,3,1,2,9,16 | swamp,

9,30,15,4,10,3,8,16,17 | farmland,lostTribe,mine,

10,40,15,4,5,9,11,17,18 | hill,

11,50,12,10,7,18,13,6,5 | mountain,mine,

12,65,17,7,22,13 | hill,mine,

13,55,17,11,12,18,21,22,7 | swamp,lostTribe,cavern,

14,7,35,1,15 | hill,lostTribe,

15,12,35,40,16,1,14,19 | forest,magic,

16,27,25,1,15,17,9,19,8 | hill,lostTribe,

17,35,25,18,20,39,16,9,10,19 | farmland,lostTribe,cavern,

18,47,20,39,10,17,21,11,13 | mountain,

19,27,35,16,17,15,20,40,41 | swamp,lostTribe,

20,35,35,19,17,39,41 | hill,magic,

21,55,22,22,23,39,13,18 | forest,

22,65,22,21,23,12,13,24 | mountain,magic,

23,55,30,22,21,27,24,26,39 | swamp,lostTribe,mine,

24,65,30,22,20,26,25 | farmland,
 
25,65,40,24,26,30 | swamp,cavern,lostTribe,

26,55,40,27,21,25,24,23,29 | hill,

27,57,40,23,26,28,29,39 | forest,lostTribe,

28,57,55,29,39,33,27,34,36 | farmland,magic,

29,55,55,28,26,30,32,33,27 | mountain,mine,

30,65,55,31,29,32,25,26 | hill,magic,lostTribe,

31,65,65,32,30 | water,

32,55,65,31,30,29,33 | forest,cavern,

33,47,65,29,28,34,32,35 | mountain,

34,42,57,35,28,33,36 | forest,

35,40,65,36,34,33,38 | mountain,magic,

36,35,57,37,38,35,39,34,44,28 | swamp,lostTribe,cavern,

37,25,57,36,38,44,48,47 | farmland,

38,25,65,47,35,36,37 | hill,mine,

39,42,40,18,17,20,41,44,36,28,27,23,21 | water,

40,22,45,15,19,1,41,44,43 | farmland,lostTribe,

41,35,45,40,19,20,39,44 | mountain,cavern,mine,

42,2,50,43,1,45 | forest,mine,

43,15,50,1,42,40,45,44,48 | swamp,

44,30,52,48,37,40,41,43,36,39 | hill,lostTribe,

45,5,60,42,43,48,46 | farmland,lostTribe,cavern,

46,5,65,45,48,47 | swamp,mine,lostTribe,

47,15,65,48,46,37,38 | forest,magic,lostTribe,

48,15,60,46,47,45,43,44,37 | forst,lostTribe,
